"store","store_id","app_name","app_category","country","market_status","developer_id","developer_name","installs","rating_count","monthly_ad_revenue","monthly_iap_revenue","monthly_installs","sdk_successful_last_crawled","store_url"
"Android","com.BitofGame.MiniGolfRetro","Minigolf Retro Style","game_sports","VG","PUBLISHED","Mobile+Agenda+FZE+LLC","Mobile Agenda FZE LLC",7047878.0,38398.0,16165.039,0.0,7236,"2026-01-22 12:45:53.949743","https://play.google.com/store/apps/details?id=com.BitofGame.MiniGolfRetro"
"Android","com.live.wallpaper.background.hd","Live Wallpaper - 4K Wallpapers","personalization","JP","REMOVED","7025960414817408803","Amazic Fun Hub",613580.0,1065.0,163.2922,0.0,49,"2024-02-25 22:40:51.577984","https://play.google.com/store/apps/details?id=com.live.wallpaper.background.hd"
"Android","com.sunglab.tripleafree","Triple A","entertainment","KR","PUBLISHED","9123937757557756010","SungLab Inc",22373232.0,76209.0,12748.507,0.0,37268,"2026-08-06 21:18:17.427241","https://play.google.com/store/apps/details?id=com.sunglab.tripleafree"
"Android","com.happy.kraken.slots","Kraken Slots","game_casino","","PUBLISHED","Bfamily+Game+CO,+LTD","Bfamily Game CO, LTD",124373.0,409.0,1375.9557,0.0,18973,"2026-07-11 14:21:30.305801","https://play.google.com/store/apps/details?id=com.happy.kraken.slots"
"Android","com.puzzlegame.match.jewels.adventure","Jewels Adventure Match Blast","game_puzzle","HK","PUBLISHED","4776101697609439374","Lynn Mobile Puzzle Games",16270417.0,33428.0,28003.193,72675.53,587857,"2026-07-29 15:32:53.230875","https://play.google.com/store/apps/details?id=com.puzzlegame.match.jewels.adventure"
"Android","games.joker.bird.road","Chicken Cross - Sky Cross 2","game_casual","","PUBLISHED","5503554217443910814","Joker Game",3238478.0,20542.0,10607.519,33794.316,325850,"2026-07-26 11:00:21.725681","https://play.google.com/store/apps/details?id=games.joker.bird.road"
"Android","com.bfind","Книжная находка","books_and_reference","","REMOVED","ImRoseEd","ImRoseEd","","","","","","2026-02-19 04:18:39.478049","https://play.google.com/store/apps/details?id=com.bfind"
"Android","com.appsgrowthsdev.primesecurity.lite","Prime Security Lite","tools","","REMOVED","AppsGrowth","AppsGrowth","","","","","","2025-08-25 20:36:01.691252","https://play.google.com/store/apps/details?id=com.appsgrowthsdev.primesecurity.lite"
"Android","sudoku.puzzle.free.game.brain","Sudoku - Classic Sudoku Puzzle","game_puzzle","SG","PUBLISHED","6696884048369103258","Guru Puzzle Game",47913225.0,593231.0,34730.445,81851.14,630768,"2026-08-04 15:06:40.608301","https://play.google.com/store/apps/details?id=sudoku.puzzle.free.game.brain"
