app_category,app_name,country,developer_domain_crawled_at,developer_domain_url,developer_id,developer_name,installs,is_removed,monthly_installs,publisher_id,rating_count,relationship,store,store_id,store_url,market_status
entertainment,Reader Progre: Movie Blind Bag,,2026-08-04 22:44:54.072296,holixo.netlify.app,1840834915,Nguyen Thi Hoai Thuong,119000.0,False,116,851578514dbbefab5a27fd7aea4967cc,2380.0,DIRECT,iOS,6752767765,https://apps.apple.com/-/app/-/id6752767765,PUBLISHED
productivity,Flower Tale,,2026-08-07 10:11:14.916570,fowersvlr.xyz,1834371839,艳召 张,8950.0,False,234,d7d842b31d15c142037b1a271445ae61,179.0,DIRECT,iOS,6751492237,https://apps.apple.com/-/app/-/id6751492237,PUBLISHED
games,Trivia Blast - Social Games,US,2026-08-05 21:52:32.940558,brainbucks.com,1879043092,Brain Bucks,0.0,False,0,50fc94d99464f95650d2988683572063,0.0,DIRECT,iOS,6759518461,https://apps.apple.com/-/app/-/id6759518461,PUBLISHED
social networking,LivChat:Meet Viedo Call Chat,HK,2026-08-07 18:20:35.102960,livchat.live,7356050302540471690,BakBak GROUP,1823001.0,False,3790,8f481617d7a07a3e6f05c1c6d69eb5fe,2152.0,DIRECT,Android,com.liv.chat,https://play.google.com/store/apps/details?id=com.liv.chat,PUBLISHED
social networking,LivChat Lite: Live Video Chat,HK,2026-08-07 18:20:35.102960,livchat.live,7356050302540471690,BakBak GROUP,1594661.0,False,961,8f481617d7a07a3e6f05c1c6d69eb5fe,1853.0,DIRECT,Android,com.livchat.lite,https://play.google.com/store/apps/details?id=com.livchat.lite,PUBLISHED
social networking,LivChat - Live Video Chat,HK,2026-08-07 18:20:35.102960,livchat.live,7356050302540471690,BakBak GROUP,7683450.0,False,74758,8f481617d7a07a3e6f05c1c6d69eb5fe,6726.0,DIRECT,Android,com.livchat.pro,https://play.google.com/store/apps/details?id=com.livchat.pro,PUBLISHED
games,LoopArrowEscape,CN,2026-08-07 03:37:14.134145,clara7.com,1837289601,浩帆 吴,687200.0,False,237150,4cc16148dcf57a001d3ca65a0ececd8a,13744.0,DIRECT,iOS,6764724401,https://apps.apple.com/-/app/-/id6764724401,PUBLISHED
family,Baby Tracker - Pregnancy Care,GB,2026-08-07 16:36:49.900453,baby-tracker-pregnancy-care.netlify.app,NEPTUN+EXPRESS+INC,NEPTUN EXPRESS INC,2025072.0,False,248535,c8b7d856f4e4e44847b84d6dd2d7dcec,3324.0,DIRECT,Android,com.pregnancy.tracker.babygrowth,https://play.google.com/store/apps/details?id=com.pregnancy.tracker.babygrowth,PUBLISHED
tools,ListenQ: AI Text to Speech,VN,2026-08-07 15:53:33.564317,bigqstudio.com,5997314371632841387,BigQ AI,793.0,False,69,f17e2a01debcc4f46927e0a075b90711,0.0,DIRECT,Android,com.bigq.listeningapp,https://play.google.com/store/apps/details?id=com.bigq.listeningapp,PUBLISHED
